#Tabulated potential
r,f(r)
0.11850000000000001,-4.874940451315979e-10
0.11950000000000001,-4.87315965358448e-10
0.1205,-4.871378855852981e-10
0.1215,-4.86957585366099e-10
0.1225,-4.867766190130851e-10
0.1235,-4.86593210169417e-10
0.1245,-4.864091351919342e-10
0.1255,-4.862235059022169e-10
0.1265,-4.860374325232897e-10
0.1275,-4.858484725644985e-10
0.1285,-4.856586244272876e-10
0.1295,-4.85467666067052e-10
0.1305,-4.85275153394582e-10
0.1315,-4.850815304990874e-10
0.1325,-4.848867973805682e-10
0.1335,-4.846896217713947e-10
0.1345,-4.844915579838016e-10
0.1355,-4.842928280623937e-10
0.1365,-4.840923217841464e-10
0.1375,-4.838902611936646e-10
0.1385,-4.836868683355533e-10
0.1395,-4.834821432098124e-10
0.1405,-4.832763078610469e-10
0.14150000000000001,-4.83068696155442e-10
0.14250000000000002,-4.828606403606273e-10
0.14350000000000002,-4.826503641197633e-10
0.1445,-4.824394217450845e-10
0.1455,-4.822267030135663e-10
0.1465,-4.820126520144186e-10
0.1475,-4.81798156926061e-10
0.1485,-4.815809973024443e-10
0.1495,-4.813642817680375e-10
0.1505,-4.811442355645568e-10
0.1515,-4.809241893610761e-10
0.1525,-4.80702366800756e-10
0.1535,-4.80480100151226e-10
0.1545,-4.802553910110419e-10
0.1555,-4.80029793692438e-10
0.1565,-4.798028641062047e-10
0.1575,-4.795750463415516e-10
0.1585,-4.793458963092689e-10
0.1595,-4.79114747875542e-10
0.1605,-4.788829333080002e-10
0.1615,-4.78649564428224e-10
0.1625,-4.784150853254232e-10
0.1635,-4.781792739549928e-10
0.1645,-4.779425744061427e-10
0.1655,-4.777036544112434e-10
0.1665,-4.774647344163441e-10
0.1675,-4.772240380646053e-10
0.1685,-4.769815653560272e-10
0.1695,-4.767386485582392e-10
0.1705,-4.764939554036118e-10
0.1715,-4.762485961151697e-10
0.17250000000000001,-4.760012384252832e-10
0.17350000000000002,-4.757532146015819e-10
0.17450000000000002,-4.75504080554856e-10
0.17550000000000002,-4.752531701512908e-10
0.1765,-4.750009274800959e-10
0.1775,-4.747486848089011e-10
0.1785,-4.744937776024472e-10
0.1795,-4.742382042621784e-10
0.1805,-4.7398174274349e-10
0.1815,-4.73724171001777e-10
0.1825,-4.734648229032246e-10
0.1835,-4.732041425370426e-10
0.1845,-4.729425739924409e-10
0.1855,-4.726798952248146e-10
0.1865,-4.724154401003489e-10
0.1875,-4.721512070204881e-10
0.1885,-4.71884753494578e-10
0.1895,-4.716174117902483e-10
0.1905,-4.71348737818289e-10
0.1915,-4.7107917566791e-10
0.1925,-4.708082812499015e-10
0.1935,-4.705356104750535e-10
0.1945,-4.702629397002056e-10
0.1955,-4.699882705239133e-10
0.1965,-4.697127131692014e-10
0.1975,-4.694360455914648e-10
0.1985,-4.691580457460987e-10
0.1995,-4.688791577223128e-10
0.2005,-4.685984933416876e-10
0.2015,-4.683178289610623e-10
0.2025,-4.680356102682026e-10
0.20350000000000001,-4.677516152185035e-10
0.20450000000000002,-4.674667319903847e-10
0.20550000000000002,-4.671818487622659e-10
0.20650000000000002,-4.668938569096781e-10
0.20750000000000002,-4.6660675323551e-10
0.2085,-4.663176511598977e-10
0.2095,-4.660272168166557e-10
0.2105,-4.65736116339599e-10
0.2115,-4.6544301746109795e-10
0.2125,-4.65149696537992e-10
0.2135,-4.648552653918614e-10
0.2145,-4.645599460673111e-10
0.2155,-4.642626283413165e-10
0.2165,-4.6396508857071694e-10
0.2175,-4.636664385770928e-10
0.2185,-4.63366678360444e-10
0.2195,-4.6306491974235087e-10
0.2205,-4.627636052134676e-10
0.2215,-4.624600702385351e-10
0.2225,-4.621560911743927e-10
0.2235,-4.618507798426208e-10
0.2245,-4.6154413624321933e-10
0.2255,-4.612368265100031e-10
0.2265,-4.609284065537622e-10
0.2275,-4.6061932046370657e-10
0.2285,-4.6030868006141645e-10
0.2295,-4.599978176145214e-10
0.2305,-4.596847347215771e-10
0.2315,-4.593707636502131e-10
